lr,loss_train,accuracy_validation
0.001,6.508187294006348,54.82
0.001,4.75602912902832,54.82
0.001,3.8376691341400146,54.82
0.001,4.078168869018555,54.82
0.001,3.8198206424713135,54.82
0.001,4.190647602081299,54.82
0.001,4.180822372436523,54.82
0.001,3.8974130153656006,54.82
0.001,4.62827730178833,54.82
0.001,4.488864421844482,54.82
0.001,4.0871758460998535,54.82
0.001,4.166940689086914,54.82
0.001,3.139538288116455,54.82
0.001,4.501740455627441,54.82
0.001,3.39750599861145,54.82
0.001,4.1072797775268555,54.82
0.001,3.211646795272827,54.82
0.001,2.8662614822387695,54.82
0.001,3.361337900161743,54.82
0.001,3.0328738689422607,54.82
0.001,2.822251558303833,54.82
0.001,2.7855136394500732,54.82
0.001,3.0422163009643555,54.82
0.001,3.240482807159424,54.82
0.001,2.368899345397949,54.82
0.001,2.9996497631073,54.82
0.001,2.547147274017334,54.82
0.001,2.371387004852295,54.82
0.001,2.9880611896514893,54.82
0.001,2.8684890270233154,54.82
0.001,2.593193292617798,54.82
0.001,2.6652917861938477,54.82
0.001,2.5915234088897705,54.82
0.001,2.4962456226348877,54.82
0.001,2.5281686782836914,54.82
0.001,2.343376398086548,54.82
0.001,2.6552884578704834,54.82
0.001,2.5813798904418945,54.82
0.001,2.3828110694885254,54.82
0.001,2.5996100902557373,54.82
0.001,2.505048990249634,54.82
0.001,2.3672637939453125,54.82
0.001,2.3967230319976807,54.82
0.001,2.9320485591888428,54.82
0.001,2.320420980453491,54.82
0.001,2.4212660789489746,54.82
0.001,2.0479068756103516,54.82
0.001,2.3515450954437256,54.82
0.001,2.2781078815460205,54.82
0.001,2.6585958003997803,54.82
0.001,2.720186471939087,54.82
0.001,2.602504253387451,54.82
0.001,2.4835240840911865,54.82
0.001,2.5036356449127197,54.82
0.001,2.52046275138855,54.82
0.001,2.349733591079712,54.82
0.001,2.4852986335754395,54.82
0.001,2.218000888824463,54.82
0.001,2.2404985427856445,54.82
0.001,2.3185837268829346,54.82
0.001,1.9766950607299805,54.82
0.001,2.1180765628814697,54.82
0.001,2.0955381393432617,54.82
0.001,2.511068344116211,54.82
0.001,2.206557273864746,54.82
0.001,2.363584518432617,54.82
0.001,2.1200385093688965,54.82
0.001,2.5652761459350586,54.82
0.001,2.0657541751861572,54.82
0.001,1.8319774866104126,54.82
0.001,2.2090158462524414,54.82
0.001,2.5578906536102295,54.82
0.001,2.1247246265411377,54.82
0.001,2.454132318496704,54.82
0.001,2.1712467670440674,54.82
0.001,2.095839500427246,54.82
0.001,2.285566806793213,54.82
0.001,1.9737309217453003,54.82
0.001,2.4503297805786133,54.82
0.001,2.3021738529205322,54.82
0.001,2.2196831703186035,54.82
0.001,2.212068557739258,54.82
0.001,1.9124332666397095,54.82
0.001,2.1265573501586914,54.82
0.001,2.1013522148132324,54.82
0.001,2.2973532676696777,54.82
0.001,2.253032684326172,54.82
0.001,2.2079646587371826,54.82
0.001,2.2100555896759033,54.82
0.001,2.4100687503814697,54.82
0.001,2.4138998985290527,54.82
0.001,2.377572536468506,54.82
0.001,2.2122862339019775,54.82
0.001,2.2655556201934814,54.82
0.001,2.2165591716766357,54.82
0.001,1.958159327507019,54.82
0.001,2.4492835998535156,54.82
0.001,1.894943356513977,54.82
0.001,2.687884569168091,54.82
0.001,2.266726016998291,54.82
0.001,2.4299728870391846,54.82
0.001,1.8463127613067627,54.82
0.001,2.0785651206970215,54.82
0.001,1.922536015510559,54.82
0.001,2.785529375076294,54.82
0.001,2.0222158432006836,54.82
0.001,2.3247082233428955,54.82
0.001,1.9707869291305542,54.82
0.001,1.7148118019104004,54.82
0.001,2.0381956100463867,54.82
0.001,2.008049249649048,54.82
0.001,1.8347952365875244,54.82
0.001,2.327731132507324,54.82
0.001,2.1292314529418945,54.82
0.001,2.2643449306488037,54.82
0.001,1.8901728391647339,54.82
0.001,1.8731614351272583,54.82
0.001,1.9893673658370972,54.82
0.001,2.11392879486084,54.82
0.001,2.3454971313476562,54.82
0.001,1.7748087644577026,54.82
0.001,1.7659918069839478,54.82
0.001,2.174656629562378,54.82
0.001,2.2868287563323975,54.82
0.001,1.8397727012634277,54.82
0.001,1.7113112211227417,54.82
0.001,1.9037514925003052,54.82
0.001,2.012997627258301,54.82
0.001,2.1741743087768555,54.82
0.001,1.8811941146850586,54.82
0.001,1.7816888093948364,54.82
0.001,2.311753034591675,54.82
0.001,1.7634332180023193,54.82
0.001,1.7868549823760986,54.82
0.001,1.9709972143173218,54.82
0.001,2.4267172813415527,54.82
0.001,1.5732910633087158,54.82
0.001,2.0711662769317627,54.82
0.001,2.303422451019287,54.82
0.001,2.18595814704895,54.82
0.001,2.0268988609313965,54.82
0.001,2.0778467655181885,54.82
0.001,2.17439341545105,54.82
0.001,2.4841620922088623,54.82
0.001,2.0212583541870117,54.82
0.001,1.7549077272415161,54.82
0.001,1.8402179479599,54.82
0.001,2.608355760574341,54.82
