weight1,weight2,weight3,weight4,weight5,weight_change1,weight_change2,weight_change3,weight_change4,weight_change5,accuracy_after_train_true,accuracy_after_train_false
1.0,1.1,1.2,1.3,1.4,0.964576244354248,1.0660605430603027,1.1621321439743042,1.259959101676941,1.3842445611953735,82.44,83.5
1.0,1.2,1.4,1.6,1.8,0.9615628719329834,1.1649725437164307,1.3613442182540894,1.5602835416793823,1.7801644802093506,82.0,83.24
1.0,1.3,1.6,1.9,2.2,0.9605045914649963,1.262981653213501,1.5591645240783691,1.860709309577942,2.1776740550994873,82.44,82.18
1.0,1.4,1.8,2.2,2.6,0.9570721983909607,1.3605679273605347,1.7575231790542603,2.1600759029388428,2.5793159008026123,81.18,83.38
1.0,1.5,2.0,2.5,3.0,0.9589805603027344,1.4615651369094849,1.9575577974319458,2.458794116973877,2.9757275581359863,82.56,80.66
1.0,1.6,2.2,2.8,3.4,0.9548747539520264,1.5578418970108032,2.15505313873291,2.758004903793335,3.3763954639434814,79.84,82.68
1.0,1.7,2.4,3.1,3.8,0.954589307308197,1.6579796075820923,2.3553500175476074,3.0585546493530273,3.777083158493042,80.78,81.82
1.0,1.8,2.6,3.4,4.2,0.9538722038269043,1.7572282552719116,2.553676128387451,3.3571295738220215,4.178306579589844,81.1,81.04
1.0,1.9,2.8,3.7,4.6,0.9517824053764343,1.855909824371338,2.7519235610961914,3.6561741828918457,4.57863187789917,82.4,83.26
1.0,2.0,3.0,4.0,5.0,0.9506275653839111,1.953486680984497,2.9512710571289062,3.955645799636841,4.9759440422058105,81.44,80.48
1.0,2.1,3.2,4.3,5.4,0.9504058361053467,2.0529024600982666,3.150136947631836,4.255349636077881,5.376010417938232,80.32,80.84
1.0,2.2,3.4,4.6,5.8,0.9491394758224487,2.153548240661621,3.351010322570801,4.555429935455322,5.7769598960876465,80.88,82.1
1.0,2.3,3.6,4.9,6.2,0.9510787129402161,2.254012107849121,3.5504677295684814,4.8541059494018555,6.1775641441345215,81.42,80.88
1.0,2.4,3.8,5.2,6.6,0.9483782649040222,2.351785898208618,3.749117612838745,5.153815269470215,6.578024864196777,80.56,83.22
1.0,2.5,4.0,5.5,7.0,0.9476423263549805,2.4509313106536865,3.947486162185669,5.453030586242676,6.978812217712402,81.38,81.8
1.0,2.6,4.2,5.8,7.4,0.9454387426376343,2.5477259159088135,4.146937370300293,5.75346040725708,7.377045631408691,81.82,80.28
1.0,2.7,4.4,6.1,7.8,0.9474028944969177,2.6483826637268066,4.346636772155762,6.052361965179443,7.776506423950195,81.2,80.54
1.0,2.8,4.6,6.4,8.2,0.9460635185241699,2.7496654987335205,4.546783924102783,6.3525919914245605,8.17760181427002,81.78,80.46
1.0,2.9,4.8,6.7,8.6,0.9460625648498535,2.847993850708008,4.746285438537598,6.651791572570801,8.578407287597656,81.56,80.54
