weight1,weight2,weight3,weight4,weight5,weight_change1,weight_change2,weight_change3,weight_change4,weight_change5,accuracy_after_train_true,accuracy_after_train_false
1.0,1.1,1.2,1.3,1.4,0.9291540384292603,1.060795545578003,1.154807209968567,1.256310224533081,1.3486332893371582,62.4,62.98
1.0,1.2,1.4,1.6,1.8,0.9290637969970703,1.157550573348999,1.3530927896499634,1.5560483932495117,1.742727518081665,62.0,61.4
1.0,1.3,1.6,1.9,2.2,0.9277903437614441,1.2559258937835693,1.5515016317367554,1.8548942804336548,2.140235662460327,62.64,62.56
1.0,1.4,1.8,2.2,2.6,0.9282935857772827,1.3541016578674316,1.7508238554000854,2.154381275177002,2.538282871246338,60.86,61.48
1.0,1.5,2.0,2.5,3.0,0.9291424751281738,1.4546678066253662,1.9513254165649414,2.4548401832580566,2.9378769397735596,64.42,60.0
1.0,1.6,2.2,2.8,3.4,0.9276672005653381,1.5539573431015015,2.1500585079193115,2.754293203353882,3.336031675338745,61.24,64.56
1.0,1.7,2.4,3.1,3.8,0.9292590618133545,1.653676986694336,2.349994421005249,3.054664373397827,3.736956834793091,63.8,62.28
1.0,1.8,2.6,3.4,4.2,0.9278314113616943,1.752332091331482,2.548933267593384,3.3535897731781006,4.135700225830078,62.28,62.9
1.0,1.9,2.8,3.7,4.6,0.929044246673584,1.8515876531600952,2.7489683628082275,3.653754949569702,4.535778522491455,60.68,62.84
