weight1,weight2,weight3,weight4,weight5,weight_change1,weight_change2,weight_change3,weight_change4,weight_change5,accuracy_before_train,accuracy_after_train_true,accuracy_after_train_false
1.0,1.1,1.2,1.3,1.4,0.6306222081184387,0.7938059568405151,0.8854193687438965,1.092147707939148,1.293389916419983,64.18,69.12,70.24
1.0,1.2,1.4,1.6,1.8,0.6329591870307922,0.8981644511222839,1.092736840248108,1.3989291191101074,1.711063265800476,62.9,71.16,69.72
1.0,1.3,1.6,1.9,2.2,0.6505581736564636,1.0128196477890015,1.299072027206421,1.6836739778518677,2.1311421394348145,62.5,69.94,70.82
1.0,1.4,1.8,2.2,2.6,0.6186501383781433,1.089432716369629,1.4953620433807373,1.9863462448120117,2.534907817840576,64.84,67.96,72.28
1.0,1.5,2.0,2.5,3.0,0.6420807838439941,1.2046101093292236,1.6953953504562378,2.2654716968536377,2.936837911605835,63.32,69.96,70.56
1.0,1.6,2.2,2.8,3.4,0.6375289559364319,1.326493263244629,1.9066468477249146,2.567106008529663,3.3362650871276855,64.26,72.32,72.08
1.0,1.7,2.4,3.1,3.8,0.6473169326782227,1.4237579107284546,2.1137053966522217,2.8700530529022217,3.743910789489746,61.84,71.66,71.54
1.0,1.8,2.6,3.4,4.2,0.6423000693321228,1.5470155477523804,2.3095455169677734,3.156212568283081,4.141163349151611,62.36,72.2,74.52
1.0,1.9,2.8,3.7,4.6,0.6385990381240845,1.645302414894104,2.501704692840576,3.4651126861572266,4.543997764587402,63.6,72.88,72.2
1.0,2.0,3.0,4.0,5.0,0.6352270245552063,1.7255529165267944,2.694291830062866,3.755730390548706,4.939296722412109,62.96,73.56,71.08
1.0,2.1,3.2,4.3,5.4,0.6348385810852051,1.8437962532043457,2.907177448272705,4.071862697601318,5.341726303100586,62.74,73.48,72.9
1.0,2.2,3.4,4.6,5.8,0.6297703981399536,1.9108959436416626,3.1000101566314697,4.364284038543701,5.742713451385498,61.5,73.0,72.04
1.0,2.3,3.6,4.9,6.2,0.6378404498100281,2.0196876525878906,3.2991182804107666,4.653652667999268,6.13870096206665,63.54,72.78,74.24
1.0,2.4,3.8,5.2,6.6,0.6436254978179932,2.1248672008514404,3.505861759185791,4.9606499671936035,6.5385260581970215,63.74,74.64,72.02
1.0,2.5,4.0,5.5,7.0,0.6326703429222107,2.216909170150757,3.7049548625946045,5.258053779602051,6.940977573394775,61.88,73.52,72.24
1.0,2.6,4.2,5.8,7.4,0.6344465017318726,2.325450897216797,3.909014940261841,5.563218116760254,7.335391521453857,62.18,73.42,71.46
1.0,2.7,4.4,6.1,7.8,0.6453793048858643,2.423959970474243,4.104288578033447,5.85706901550293,7.7347002029418945,63.16,73.86,73.42
1.0,2.8,4.6,6.4,8.2,0.6321879625320435,2.512058973312378,4.297236919403076,6.155923843383789,8.136626243591309,62.56,73.82,75.36
1.0,2.9,4.8,6.7,8.6,0.6472553014755249,2.638937473297119,4.522890090942383,6.47391414642334,8.540236473083496,62.46,73.4,72.76
