weight1,weight2,weight3,weight4,weight5,weight_change1,weight_change2,weight_change3,weight_change4,weight_change5,accuracy_before_train,accuracy_after_train_true,accuracy_after_train_false
1.0,1.1,1.2,1.3,1.4,0.6509382724761963,0.8050184845924377,0.8693031072616577,1.0192983150482178,1.319399118423462,63.72,74.78,71.94
1.0,1.2,1.4,1.6,1.8,0.6496999263763428,0.9160104990005493,1.0735832452774048,1.316959023475647,1.7300688028335571,63.54,74.22,72.0
1.0,1.3,1.6,1.9,2.2,0.6496320962905884,1.0155197381973267,1.285548448562622,1.6352416276931763,2.1436212062835693,62.3,72.58,72.94
1.0,1.4,1.8,2.2,2.6,0.6618698239326477,1.136879563331604,1.4931801557540894,1.9492318630218506,2.5465519428253174,62.22,71.7,72.9
1.0,1.5,2.0,2.5,3.0,0.6671739816665649,1.238006353378296,1.6967440843582153,2.254061222076416,2.953751802444458,63.08,74.54,73.4
1.0,1.6,2.2,2.8,3.4,0.6626608371734619,1.338034749031067,1.9072059392929077,2.563732147216797,3.350632667541504,60.76,73.46,72.54
1.0,1.7,2.4,3.1,3.8,0.6319690346717834,1.4084744453430176,2.08370041847229,2.8611831665039062,3.7545416355133057,63.88,74.46,73.26
1.0,1.8,2.6,3.4,4.2,0.6648192405700684,1.552025556564331,2.311441421508789,3.1821203231811523,4.157293796539307,62.94,73.42,71.9
1.0,1.9,2.8,3.7,4.6,0.6638275980949402,1.660435676574707,2.514369010925293,3.4792821407318115,4.554211139678955,63.24,72.7,74.18
1.0,2.0,3.0,4.0,5.0,0.6562846302986145,1.7487421035766602,2.723651170730591,3.787659168243408,4.955544948577881,63.34,73.0,71.64
1.0,2.1,3.2,4.3,5.4,0.6662843227386475,1.8640235662460327,2.931373357772827,4.092141628265381,5.360082626342773,64.16,73.96,73.02
1.0,2.2,3.4,4.6,5.8,0.6525113582611084,1.9630264043807983,3.1204583644866943,4.397607803344727,5.759552478790283,62.18,72.2,74.22
1.0,2.3,3.6,4.9,6.2,0.6592690944671631,2.0452847480773926,3.326005697250366,4.692689418792725,6.159605026245117,63.96,73.88,75.58
1.0,2.4,3.8,5.2,6.6,0.644220232963562,2.1477720737457275,3.529404640197754,5.001214504241943,6.559228897094727,63.14,73.18,74.34
1.0,2.5,4.0,5.5,7.0,0.6541494727134705,2.257685422897339,3.7361807823181152,5.295346736907959,6.964570999145508,62.94,72.78,73.6
1.0,2.6,4.2,5.8,7.4,0.6490304470062256,2.3494372367858887,3.9390876293182373,5.607946872711182,7.363116264343262,62.48,74.54,73.72
1.0,2.7,4.4,6.1,7.8,0.6529192328453064,2.479740858078003,4.156132221221924,5.92378568649292,7.762476921081543,63.68,74.14,73.92
1.0,2.8,4.6,6.4,8.2,0.6373926997184753,2.5480661392211914,4.331017971038818,6.220430850982666,8.16353702545166,62.32,71.34,73.66
1.0,2.9,4.8,6.7,8.6,0.6525999903678894,2.662137269973755,4.543431282043457,6.522784233093262,8.56227970123291,63.54,72.4,75.04
