weight1,weight2,weight3,weight4,weight5,weight_change1,weight_change2,weight_change3,weight_change4,weight_change5,accuracy_before_train,accuracy_after_train_true,accuracy_after_train_false
1.0,1.1,1.2,1.3,1.4,0.5727530717849731,0.7710064649581909,0.8525884747505188,1.0353840589523315,1.3467419147491455,39.76,53.8,52.6
1.0,1.2,1.4,1.6,1.8,0.5669518709182739,0.8875622153282166,1.0741064548492432,1.3664342164993286,1.7538995742797852,40.9,54.34,53.46
1.0,1.3,1.6,1.9,2.2,0.5832582116127014,1.0004266500473022,1.299419641494751,1.6756823062896729,2.152238607406616,41.48,52.06,54.76
1.0,1.4,1.8,2.2,2.6,0.5931746363639832,1.1203359365463257,1.5068529844284058,1.9919098615646362,2.5579025745391846,39.58,56.56,52.44
1.0,1.5,2.0,2.5,3.0,0.5778435468673706,1.1976546049118042,1.6931285858154297,2.2926928997039795,2.9595282077789307,38.98,55.4,52.66
1.0,1.6,2.2,2.8,3.4,0.5961319208145142,1.3498263359069824,1.9244717359542847,2.6039834022521973,3.3623476028442383,40.94,53.0,53.04
1.0,1.7,2.4,3.1,3.8,0.5912564992904663,1.4159884452819824,2.1227829456329346,2.914421319961548,3.760223388671875,38.48,54.42,52.96
1.0,1.8,2.6,3.4,4.2,0.5914201736450195,1.5128544569015503,2.3180270195007324,3.2146048545837402,4.160958766937256,40.32,54.08,55.3
1.0,1.9,2.8,3.7,4.6,0.6082190871238708,1.661847472190857,2.5623536109924316,3.5334830284118652,4.562485218048096,39.66,53.8,54.28
1.0,2.0,3.0,4.0,5.0,0.5911850333213806,1.726638674736023,2.7348928451538086,3.822761058807373,4.961874008178711,40.58,52.32,52.4
1.0,2.1,3.2,4.3,5.4,0.596735417842865,1.8239997625350952,2.9447169303894043,4.130245208740234,5.362951755523682,39.5,53.94,53.36
1.0,2.2,3.4,4.6,5.8,0.595029354095459,1.926125168800354,3.1606574058532715,4.4501872062683105,5.763221740722656,39.66,53.94,55.04
1.0,2.3,3.6,4.9,6.2,0.5997108817100525,2.043440818786621,3.3533101081848145,4.736754894256592,6.162535190582275,41.22,55.94,53.62
1.0,2.4,3.8,5.2,6.6,0.5951457619667053,2.1278600692749023,3.558303117752075,5.043247222900391,6.56075382232666,41.36,53.36,53.6
1.0,2.5,4.0,5.5,7.0,0.6057171821594238,2.246635913848877,3.7823355197906494,5.365884780883789,6.965829849243164,39.06,51.38,53.62
1.0,2.6,4.2,5.8,7.4,0.6220280528068542,2.3654677867889404,3.984358310699463,5.6602325439453125,7.364883899688721,39.68,56.02,52.26
1.0,2.7,4.4,6.1,7.8,0.5853303074836731,2.425056219100952,4.143651485443115,5.931195259094238,7.759330749511719,40.44,53.42,50.92
1.0,2.8,4.6,6.4,8.2,0.5856282711029053,2.527479410171509,4.360623836517334,6.259195804595947,8.161931991577148,41.34,52.34,52.46
1.0,2.9,4.8,6.7,8.6,0.5898571610450745,2.631037712097168,4.5699944496154785,6.557419300079346,8.564864158630371,41.88,54.06,52.38
