lr,loss_train,accuracy_validation
0.001,6.536283016204834,49.76
0.001,4.766839504241943,49.76
0.001,3.8163163661956787,49.76
0.001,3.7499618530273438,49.76
0.001,4.295148849487305,49.76
0.001,3.858313798904419,49.76
0.001,3.698793888092041,49.76
0.001,3.7500908374786377,49.76
0.001,3.816305637359619,49.76
0.001,3.5537283420562744,49.76
0.001,3.5205867290496826,49.76
0.001,3.3823540210723877,49.76
0.001,3.164287805557251,49.76
0.001,3.225898265838623,49.76
0.001,2.9812936782836914,49.76
0.001,3.028988838195801,49.76
0.001,2.9556782245635986,49.76
0.001,3.4037227630615234,49.76
0.001,3.101670742034912,49.76
0.001,2.939452648162842,49.76
0.001,3.2394468784332275,49.76
0.001,2.7853810787200928,49.76
0.001,2.570587635040283,49.76
0.001,2.8518402576446533,49.76
0.001,2.7867069244384766,49.76
0.001,2.6901400089263916,49.76
0.001,2.8043551445007324,49.76
0.001,2.82045578956604,49.76
0.001,2.750150203704834,49.76
0.001,2.624016284942627,49.76
0.001,2.733626365661621,49.76
0.001,2.6162054538726807,49.76
0.001,2.5647170543670654,49.76
0.001,2.396343231201172,49.76
0.001,2.8007898330688477,49.76
0.001,3.05912446975708,49.76
0.001,2.663139820098877,49.76
0.001,2.653413772583008,49.76
0.001,2.822772741317749,49.76
0.001,2.7966744899749756,49.76
0.001,2.6065666675567627,49.76
0.001,2.571528911590576,49.76
0.001,2.6991515159606934,49.76
0.001,2.6676878929138184,49.76
0.001,2.73527193069458,49.76
0.001,2.4614017009735107,49.76
0.001,2.6251819133758545,49.76
0.001,2.3832337856292725,49.76
0.001,2.2623956203460693,49.76
0.001,2.3327252864837646,49.76
0.001,2.0724544525146484,49.76
0.001,2.5271358489990234,49.76
0.001,2.3398795127868652,49.76
0.001,2.6288838386535645,49.76
0.001,1.9989808797836304,49.76
0.001,2.136106014251709,49.76
0.001,2.3609044551849365,49.76
0.001,2.318126678466797,49.76
0.001,2.1495866775512695,49.76
0.001,2.2532360553741455,49.76
0.001,2.4184303283691406,49.76
0.001,1.9760953187942505,49.76
0.001,2.431196928024292,49.76
0.001,2.29252028465271,49.76
0.001,2.4007174968719482,49.76
0.001,2.5093331336975098,49.76
0.001,2.3451788425445557,49.76
0.001,2.484323501586914,49.76
0.001,2.2922513484954834,49.76
0.001,2.4028313159942627,49.76
0.001,2.3313028812408447,49.76
0.001,2.4237802028656006,49.76
0.001,2.122810125350952,49.76
0.001,2.1186084747314453,49.76
