lr,loss_train,accuracy_validation
0.0001,6.267072677612305,65.62
0.0001,5.460246562957764,65.62
0.0001,4.776109218597412,65.62
0.0001,4.174737453460693,65.62
0.0001,4.382554531097412,65.62
0.0001,3.7981433868408203,65.62
0.0001,3.8321492671966553,65.62
0.0001,3.150294303894043,65.62
0.0001,3.236248731613159,65.62
0.0001,4.312307834625244,65.62
0.0001,2.76267671585083,65.62
0.0001,3.731513738632202,65.62
0.0001,3.426466464996338,65.62
0.0001,3.119767189025879,65.62
0.0001,3.207643747329712,65.62
0.0001,3.2667007446289062,65.62
0.0001,3.415977716445923,65.62
0.0001,2.9027113914489746,65.62
0.0001,3.9211814403533936,65.62
0.0001,3.1253867149353027,65.62
0.0001,3.068418264389038,65.62
0.0001,2.7468090057373047,65.62
0.0001,2.8602800369262695,65.62
0.0001,2.768307685852051,65.62
0.0001,3.0104258060455322,65.62
0.0001,3.070571184158325,65.62
0.0001,3.3486828804016113,65.62
0.0001,2.7697722911834717,65.62
0.0001,2.7452380657196045,65.62
0.0001,2.6999926567077637,65.62
0.0001,2.781374931335449,65.62
0.0001,2.685218095779419,65.62
0.0001,2.9331908226013184,65.62
0.0001,2.8072965145111084,65.62
0.0001,2.4921278953552246,65.62
0.0001,3.041621446609497,65.62
0.0001,2.5256507396698,65.62
0.0001,2.8510794639587402,65.62
0.0001,2.963613510131836,65.62
0.0001,2.8453238010406494,65.62
0.0001,2.3938896656036377,65.62
0.0001,2.4019615650177,65.62
0.0001,2.7238409519195557,65.62
0.0001,2.269460916519165,65.62
0.0001,2.6844170093536377,65.62
0.0001,3.119398593902588,65.62
0.0001,2.4343326091766357,65.62
0.0001,2.889833688735962,65.62
0.0001,1.9835519790649414,65.62
0.0001,2.509860038757324,65.62
0.0001,2.520176887512207,65.62
0.0001,2.2234182357788086,65.62
0.0001,2.5785372257232666,65.62
0.0001,2.616147041320801,65.62
0.0001,2.654099941253662,65.62
0.0001,2.270540475845337,65.62
0.0001,2.0008187294006348,65.62
0.0001,2.175967216491699,65.62
0.0001,2.9629247188568115,65.62
0.0001,3.0153162479400635,65.62
0.0001,2.296926498413086,65.62
0.0001,2.660438299179077,65.62
0.0001,2.3873207569122314,65.62
0.0001,2.6413354873657227,65.62
0.0001,2.0665135383605957,65.62
0.0001,2.790799617767334,65.62
0.0001,2.400834321975708,65.62
0.0001,2.454537868499756,65.62
0.0001,2.3147966861724854,65.62
0.0001,2.2064733505249023,65.62
0.0001,2.0415046215057373,65.62
0.0001,2.675882339477539,65.62
0.0001,2.5230987071990967,65.62
0.0001,2.1604926586151123,65.62
0.0001,2.738966703414917,65.62
0.0001,2.197844982147217,65.62
0.0001,2.215147018432617,65.62
0.0001,2.8548617362976074,65.62
0.0001,2.0316267013549805,65.62
0.0001,2.404039144515991,65.62
0.0001,2.2203528881073,65.62
0.0001,2.4619596004486084,65.62
0.0001,2.0017244815826416,65.62
0.0001,2.432272434234619,65.62
0.0001,1.7323174476623535,65.62
0.0001,2.0010037422180176,65.62
