lr,loss_train,accuracy_validation
1e-05,6.619740009307861,54.78
1e-05,6.256450176239014,54.78
1e-05,5.954025745391846,54.78
1e-05,6.519113063812256,54.78
1e-05,5.509033203125,54.78
1e-05,5.965181350708008,54.78
1e-05,6.071125507354736,54.78
1e-05,5.1456122398376465,54.78
1e-05,5.647665500640869,54.78
1e-05,5.847856521606445,54.78
1e-05,5.744760513305664,54.78
1e-05,5.181528091430664,54.78
1e-05,5.380017280578613,54.78
1e-05,5.516268730163574,54.78
1e-05,5.497430324554443,54.78
1e-05,5.1270599365234375,54.78
1e-05,4.790293216705322,54.78
1e-05,5.488104343414307,54.78
1e-05,4.178131580352783,54.78
1e-05,4.859942436218262,54.78
1e-05,4.561877250671387,54.78
1e-05,5.058664321899414,54.78
1e-05,4.310997486114502,54.78
1e-05,5.389367580413818,54.78
1e-05,4.74420690536499,54.78
1e-05,4.682856559753418,54.78
1e-05,5.185236930847168,54.78
1e-05,4.267299652099609,54.78
1e-05,4.1377787590026855,54.78
1e-05,5.181789398193359,54.78
1e-05,4.6825032234191895,54.78
1e-05,4.491390705108643,54.78
1e-05,4.845925807952881,54.78
1e-05,5.182097911834717,54.78
1e-05,4.477777004241943,54.78
1e-05,4.524184226989746,54.78
1e-05,4.90792989730835,54.78
1e-05,3.57967472076416,54.78
1e-05,4.577169895172119,54.78
1e-05,4.890942573547363,54.78
1e-05,4.036157608032227,54.78
1e-05,4.093113422393799,54.78
1e-05,4.631600379943848,54.78
1e-05,4.941159248352051,54.78
1e-05,4.886262893676758,54.78
1e-05,4.337324619293213,54.78
1e-05,4.311295986175537,54.78
1e-05,4.053820610046387,54.78
1e-05,3.4947845935821533,54.78
1e-05,3.991111993789673,54.78
1e-05,4.859048366546631,54.78
1e-05,3.7057299613952637,54.78
1e-05,4.027846813201904,54.78
1e-05,4.1893486976623535,54.78
1e-05,4.297804832458496,54.78
1e-05,4.598081111907959,54.78
1e-05,3.7151966094970703,54.78
1e-05,3.943760871887207,54.78
1e-05,3.7803452014923096,54.78
1e-05,3.7277441024780273,54.78
1e-05,3.8901610374450684,54.78
1e-05,4.445084095001221,54.78
1e-05,3.23634672164917,54.78
1e-05,3.5272533893585205,54.78
1e-05,3.9441263675689697,54.78
