weight1,weight2,weight3,weight4,weight5,weight_change1,weight_change2,weight_change3,weight_change4,weight_change5,accuracy_after_train_true,accuracy_after_train_false
1.0,1.1,1.2,1.3,1.4,0.9443777203559875,1.0516871213912964,1.1482692956924438,1.2498672008514404,1.3726530075073242,65.14,63.98
1.0,1.2,1.4,1.6,1.8,0.9437381625175476,1.1500707864761353,1.3457573652267456,1.5485610961914062,1.774070382118225,63.3,64.56
1.0,1.3,1.6,1.9,2.2,0.9430099725723267,1.2463194131851196,1.5439106225967407,1.848732590675354,2.1742775440216064,64.0,63.88
1.0,1.4,1.8,2.2,2.6,0.9405383467674255,1.3468108177185059,1.7433197498321533,2.146878957748413,2.5737223625183105,62.46,61.36
1.0,1.5,2.0,2.5,3.0,0.9398293495178223,1.4420886039733887,1.9414331912994385,2.444662094116211,2.9733171463012695,62.28,63.4
1.0,1.6,2.2,2.8,3.4,0.9401231408119202,1.5423749685287476,2.1416714191436768,2.7460525035858154,3.374016046524048,61.1,60.24
1.0,1.7,2.4,3.1,3.8,0.939960777759552,1.6430935859680176,2.339693784713745,3.044205665588379,3.774909496307373,61.08,61.06
1.0,1.8,2.6,3.4,4.2,0.936847448348999,1.7424331903457642,2.539916753768921,3.344346761703491,4.174227714538574,61.82,60.94
1.0,1.9,2.8,3.7,4.6,0.9381981492042542,1.8410401344299316,2.7370553016662598,3.6433305740356445,4.5757222175598145,60.56,60.9
1.0,2.0,3.0,4.0,5.0,0.9393945932388306,1.9416730403900146,2.938055992126465,3.9432332515716553,4.974469184875488,59.06,60.9
1.0,2.1,3.2,4.3,5.4,0.9409185647964478,2.042029619216919,3.1392078399658203,4.2435479164123535,5.374524116516113,61.98,59.56
1.0,2.2,3.4,4.6,5.8,0.9420362114906311,2.139728546142578,3.337122678756714,4.542805194854736,5.7749810218811035,57.74,60.46
1.0,2.3,3.6,4.9,6.2,0.9407806396484375,2.24084210395813,3.537770986557007,4.842970848083496,6.173593044281006,61.94,59.78
1.0,2.4,3.8,5.2,6.6,0.9431561231613159,2.3419013023376465,3.7386701107025146,5.143976211547852,6.575479984283447,60.94,59.36
1.0,2.5,4.0,5.5,7.0,0.9377468228340149,2.4401819705963135,3.938084125518799,5.442073822021484,6.974463939666748,58.82,61.42
1.0,2.6,4.2,5.8,7.4,0.9413360953330994,2.5404160022735596,4.137309551239014,5.742527008056641,7.373885154724121,61.92,61.86
1.0,2.7,4.4,6.1,7.8,0.9405535459518433,2.6406474113464355,4.338682174682617,6.042305946350098,7.774173259735107,60.28,59.94
1.0,2.8,4.6,6.4,8.2,0.9391209483146667,2.7404417991638184,4.536949634552002,6.343074798583984,8.174365997314453,61.6,60.92
1.0,2.9,4.8,6.7,8.6,0.9393181204795837,2.838688373565674,4.737061023712158,6.6425981521606445,8.573439598083496,59.24,58.74
